"ID товара";Артикул;Категория;"URL категории";Товар;Вариант;"Краткое описание";Описание;Цена;"Старая цена";"URL товара";Изображение;Количество;Активность;"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";Рекомендуемый;Новый;Сортировка;Вес;"Связанные артикулы";"Смежные категории	";"Ссылка на товар";Валюта;"Единицы измерения";Длина;Ширина;Толщина;"Основная камера";"Частота кадров";"Разрешение видео";"Фронтальная камера";"Разрешение экрана";Диагональ;"Тип экрана";"Оперативная память";"Количество ядер";"Емкость аккумулятора";Процессор;"Поддержка MicroSD";"Количество SIM-карт";"Версия ОС";Вес;"Максимальный объём памяти";Размеры;"Вес [prop attr=42]";"Тип батареи";"Точность хода";Водонепроницаемость;"Объём памяти [size]";"Цвет[prop attr=Смартфоны] [color]";"Цвет [color]";"Размер[prop attr=Детская обувь] [size]";"Размер обуви [size]";"Размер [size]";"Размер[prop attr=Леггинсы] [size]";"Окончание акции (дд.мм.гггг)";"Год изготовления[prop attr=Шины] [prop attr=51]";"Сложные характеристики
"
;321576;"Мобильная связь и телефония/AGM";mobilnaya-svyaz-i-telefoniya-mobilnye-telefony-smartfony/agm;"Смартфон AGM X2 (6+64) Carbon";;;;"38 366";;;"70_no-img.jpg[:param:][alt=Смартфон AGM X2 (6+64) Carbon][title=Смартфон AGM X2 (6+64) Carbon]";-1;1;;;;0;0;;;;;;RUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Уточните характеристики товара у наших менеджеров[prop attr=телефон]=[type=assortmentCheckBox value=##1## product_margin=## activity=1 filter=1 description=]&Бренд[prop attr=телефон]=[type=assortmentCheckBox value=???????? AGM X2 (6+64) Carbon##1## product_margin=???????? AGM X2 (6+64) Carbon## activity=1 filter=1 description=]"
;313668;"Мобильная связь и телефония/AGM";mobilnaya-svyaz-i-telefoniya-mobilnye-telefony-smartfony/agm;"Смартфон AGM X2 (6+128) зад стекло";;;;"39 900";;;"smartfon-agm-x2-6-128-zad-steklo-9-0.jpg[:param:][alt=Смартфон AGM X2 (6+128) зад стекло][title=Смартфон AGM X2 (6+128) зад стекло]|smartfon-agm-x2-6-128-zad-steklo-9-1.jpg[:param:][alt=Смартфон AGM X2 (6+128) зад стекло][title=Смартфон AGM X2 (6+128) зад стекло]|smartfon-agm-x2-6-128-zad-steklo-9-2.jpg[:param:][alt=Смартфон AGM X2 (6+128) зад стекло][title=Смартфон AGM X2 (6+128) зад стекло]";-1;1;;;;0;0;;;;;;RUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Тип[prop attr=телефон]=[type=assortmentCheckBox value=смартфон##1## product_margin=смартфон## activity=1 filter=1 description=]&Операционная система[prop attr=телефон]=[type=assortmentCheckBox value=Android 7.1##1## product_margin=Android 7.1## activity=1 filter=1 description=]&Тип корпуса[prop attr=телефон]=[type=assortmentCheckBox value=классический##1## product_margin=классический## activity=1 filter=1 description=]&Конструкция[prop attr=телефон]=[type=assortmentCheckBox value=водозащита, ударопрочный корпус##1## product_margin=водозащита, ударопрочный корпус## activity=1 filter=1 description=]&Управление[prop attr=телефон]=[type=assortmentCheckBox value=сенсорные кнопки##1## product_margin=сенсорные кнопки## activity=1 filter=1 description=]&Количество SIM-карт[prop attr=телефон]=[type=assortmentCheckBox value=2##1## product_margin=2## activity=1 filter=1 description=]&Тип SIM-карты[prop attr=телефон]=[type=assortmentCheckBox value=nano SIM##1## product_margin=nano SIM## activity=1 filter=1 description=]&Режим работы нескольких SIM-карт[prop attr=телефон]=[type=assortmentCheckBox value=попеременный##1## product_margin=попеременный## activity=1 filter=1 description=]&Вес[prop attr=телефон]=[type=assortmentCheckBox value=250 г##1## product_margin=250 г## activity=1 filter=1 description=]&Размеры (ШxВxТ)[prop attr=телефон]=[type=assortmentCheckBox value=83.4x168.5x14 мм##1## product_margin=83.4x168.5x14 мм## activity=1 filter=1 description=]&Тип экрана[prop attr=телефон]=[type=assortmentCheckBox value=цветной AMOLED, сенсорный##1## product_margin=цветной AMOLED, сенсорный## activity=1 filter=1 description=]&Тип сенсорного экрана[prop attr=телефон]=[type=assortmentCheckBox value=мультитач, емкостный##1## product_margin=мультитач, емкостный## activity=1 filter=1 description=]&Диагональ[prop attr=телефон]=[type=assortmentCheckBox value=5.5 дюйм.##1## product_margin=5.5 дюйм.## activity=1 filter=1 description=]&Размер изображения[prop attr=телефон]=[type=assortmentCheckBox value=1920x1080##1## product_margin=1920x1080## activity=1 filter=1 description=]&Число пикселей на дюйм (PPI)[prop attr=телефон]=[type=assortmentCheckBox value=401##1## product_margin=401## activity=1 filter=1 description=]&Соотношение сторон[prop attr=телефон]=[type=assortmentCheckBox value=16:9##1## product_margin=16:9## activity=1 filter=1 description=]&Автоматический поворот экрана[prop attr=телефон]=[type=assortmentCheckBox value=есть##1## product_margin=есть## activity=1 filter=1 description=]&Устойчивое к царапинам стекло[prop attr=телефон]=[type=assortmentCheckBox value=есть##1## product_margin=есть## activity=1 filter=1 description=]&Тыловая фотокамера[prop attr=телефон]=[type=assortmentCheckBox value=двойная 12/12 МП##1## product_margin=двойная 12/12 МП## activity=1 filter=1 description=]&Фотовспышка[prop attr=телефон]=[type=assortmentCheckBox value=тыльная, светодиодная##1## product_margin=тыльная, светодиодная## activity=1 filter=1 description=]&Функции тыловой фотокамеры[prop attr=телефон]=[type=assortmentCheckBox value=автофокус##1## product_margin=автофокус## activity=1 filter=1 description=]&Запись видеороликов[prop attr=телефон]=[type=assortmentCheckBox value=есть##1## product_margin=есть## activity=1 filter=1 description=]&Фронтальная камера[prop attr=телефон]=[type=assortmentCheckBox value=есть, 16 млн пикс.##1## product_margin=есть, 16 млн пикс.## activity=1 filter=1 description=]&Аудио[prop attr=телефон]=[type=assortmentCheckBox value=MP3, AAC, WAV, WMA##1## product_margin=MP3, AAC, WAV, WMA## activity=1 filter=1 description=]&Разъем для наушников[prop attr=телефон]=[type=assortmentCheckBox value=3.5 мм##1## product_margin=3.5 мм## activity=1 filter=1 description=]&Стандарт[prop attr=телефон]=[type=assortmentCheckBox value=GSM 900/1800/1900, 3G, 4G LTE##1## product_margin=GSM 900/1800/1900, 3G, 4G LTE## activity=1 filter=1 description=]&Поддержка диапазонов LTE[prop attr=телефон]=[type=assortmentCheckBox value=LTE-FDD: band 1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20; LTE-TDD: band 38, 39, 40, 41##1## product_margin=LTE-FDD: band 1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20; LTE-TDD: band 38, 39, 40, 41## activity=1 filter=1 description=]&Интерфейсы[prop attr=телефон]=[type=assortmentCheckBox value=Wi-Fi, Bluetooth 4.0, USB, NFC##1## product_margin=Wi-Fi, Bluetooth 4.0, USB, NFC## activity=1 filter=1 description=]&Спутниковая навигация[prop attr=телефон]=[type=assortmentCheckBox value=GPS/ГЛОНАСС/BeiDou##1## product_margin=GPS/ГЛОНАСС/BeiDou## activity=1 filter=1 description=]&Cистема A-GPS[prop attr=телефон]=[type=assortmentCheckBox value=есть##1## product_margin=есть## activity=1 filter=1 description=]&Процессор[prop attr=телефон]=[type=assortmentCheckBox value=Qualcomm Snapdragon 652 MSM8976##1## product_margin=Qualcomm Snapdragon 652 MSM8976## activity=1 filter=1 description=]&Количество ядер процессора[prop attr=телефон]=[type=assortmentCheckBox value=8##1## product_margin=8## activity=1 filter=1 description=]&Видеопроцессор[prop attr=телефон]=[type=assortmentCheckBox value=Adreno 510##1## product_margin=Adreno 510## activity=1 filter=1 description=]&Объем встроенной памяти[prop attr=телефон]=[type=assortmentCheckBox value=128 Гб##1## product_margin=128 Гб## activity=1 filter=1 description=]&Объем оперативной памяти[prop attr=телефон]=[type=assortmentCheckBox value=6 Гб##1## product_margin=6 Гб## activity=1 filter=1 description=]&Слот для карт памяти[prop attr=телефон]=[type=assortmentCheckBox value=есть, объемом до 128 Гб##1## product_margin=есть, объемом до 128 Гб## activity=1 filter=1 description=]&Емкость аккумулятора[prop attr=телефон]=[type=assortmentCheckBox value=6000 мА?ч##1## product_margin=6000 мА?ч## activity=1 filter=1 description=]&Аккумулятор[prop attr=телефон]=[type=assortmentCheckBox value=несъемный##1## product_margin=несъемный## activity=1 filter=1 description=]&Время работы в режиме разговора[prop attr=телефон]=[type=assortmentCheckBox value=50 ч##1## product_margin=50 ч## activity=1 filter=1 description=]&Время работы в режиме ожидания[prop attr=телефон]=[type=assortmentCheckBox value=480 ч##1## product_margin=480 ч## activity=1 filter=1 description=]&Тип разъема для зарядки[prop attr=телефон]=[type=assortmentCheckBox value=micro-USB##1## product_margin=micro-USB## activity=1 filter=1 description=]&Функция быстрой зарядки[prop attr=телефон]=[type=assortmentCheckBox value=есть, Qualcomm Quick Charge 3.0##1## product_margin=есть, Qualcomm Quick Charge 3.0## activity=1 filter=1 description=]&Управление[prop attr=телефон]=[type=assortmentCheckBox value=голосовой набор, голосовое управление##1## product_margin=голосовой набор, голосовое управление## activity=1 filter=1 description=]&Режим полета[prop attr=телефон]=[type=assortmentCheckBox value=есть##1## product_margin=есть## activity=1 filter=1 description=]&Датчики[prop attr=телефон]=[type=assortmentCheckBox value=освещенности, приближения, гироскоп, компас, барометр, считывание отпечатка пальца##1## product_margin=освещенности, приближения, гироскоп, компас, барометр, считывание отпечатка пальца## activity=1 filter=1 description=]&Фонарик[prop attr=телефон]=[type=assortmentCheckBox value=есть##1## product_margin=есть## activity=1 filter=1 description=]&USB-host[prop attr=телефон]=[type=assortmentCheckBox value=есть##1## product_margin=есть## activity=1 filter=1 description=]&Особенности[prop attr=телефон]=[type=assortmentCheckBox value=датчики: температура окружающей среды/относительная влажность, дополнительный датчик VOC##1## product_margin=датчики: температура окружающей среды/относительная влажность, дополнительный датчик VOC## activity=1 filter=1 description=]&Бренд[prop attr=телефон]=[type=assortmentCheckBox value=???????? AGM X2 (6+128) ??? ??????##1## product_margin=???????? AGM X2 (6+128) ??? ??????## activity=1 filter=1 description=]"
;321574;"Мобильная связь и телефония/AGM";mobilnaya-svyaz-i-telefoniya-mobilnye-telefony-smartfony/agm;"Смартфон AGM X2 (6+128) Carbon";;;;"40 391";;;"70_no-img.jpg[:param:][alt=Смартфон AGM X2 (6+128) Carbon][title=Смартфон AGM X2 (6+128) Carbon]";-1;1;;;;0;0;;;;;;RUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Уточните характеристики товара у наших менеджеров[prop attr=телефон]=[type=assortmentCheckBox value=##1## product_margin=## activity=1 filter=1 description=]&Бренд[prop attr=телефон]=[type=assortmentCheckBox value=???????? AGM X2 (6+128) Carbon##1## product_margin=???????? AGM X2 (6+128) Carbon## activity=1 filter=1 description=]"
;233504;"Мобильная связь и телефония/ALCATEL";mobilnaya-svyaz-i-telefoniya-mobilnye-telefony-smartfony/alcatel;"Мобильный телефон Alcatel onetouch 1020d белый моноблок 2sim 1.8"" 128x160 gsm900/ 1800 gsm1900 fm";;;;823;;;"mobilnyy-telefon-alcatel-onetouch-1020d-belyy-monoblok-2sim-18-128x160-gsm900--1800-gsm1900-fm-11.jpg[:param:][alt=Мобильный телефон Alcatel onetouch 1020d белый моноблок 2sim 1.8"" 128x160 gsm900/ 1800 gsm1900 fm][title=Мобильный телефон Alcatel onetouch 1020d белый моноблок 2sim 1.8"" 128x160 gsm900/ 1800 gsm1900 fm]";-1;1;;;;0;0;;;;;;RUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Тип[prop attr=телефон]=[type=assortmentCheckBox value=телефон ##1## product_margin=телефон ## activity=1 filter=1 description=]&Тип корпуса[prop attr=телефон]=[type=assortmentCheckBox value=классический ##1## product_margin=классический ## activity=1 filter=1 description=]&Материал корпуса[prop attr=телефон]=[type=assortmentCheckBox value=пластик ##1## product_margin=пластик ## activity=1 filter=1 description=]&Тип SIM-карты[prop attr=телефон]=[type=assortmentCheckBox value=обычная ##1## product_margin=обычная ## activity=1 filter=1 description=]&Вес[prop attr=телефон]=[type=assortmentCheckBox value=63 г ##1## product_margin=63 г ## activity=1 filter=1 description=]&Тип экрана[prop attr=телефон]=[type=assortmentCheckBox value=цветной TFT ##1## product_margin=цветной TFT ## activity=1 filter=1 description=]&Диагональ[prop attr=телефон]=[type=assortmentCheckBox value=1.8 дюйм. ##1## product_margin=1.8 дюйм. ## activity=1 filter=1 description=]&Размер изображения[prop attr=телефон]=[type=assortmentCheckBox value=160x128 ##1## product_margin=160x128 ## activity=1 filter=1 description=]&Тип мелодий[prop attr=телефон]=[type=assortmentCheckBox value=полифонические ##1## product_margin=полифонические ## activity=1 filter=1 description=]&Аудио[prop attr=телефон]=[type=assortmentCheckBox value=FM-радио ##1## product_margin=FM-радио ## activity=1 filter=1 description=]&Диктофон[prop attr=телефон]=[type=assortmentCheckBox value=есть ##1## product_margin=есть ## activity=1 filter=1 description=]&Разъем для наушников[prop attr=телефон]=[type=assortmentCheckBox value=3.5 мм ##1## product_margin=3.5 мм ## activity=1 filter=1 description=]&Стандарт[prop attr=телефон]=[type=assortmentCheckBox value=GSM 900/1800/1900 ##1## product_margin=GSM 900/1800/1900 ## activity=1 filter=1 description=]&Доступ в интернет[prop attr=телефон]=[type=assortmentCheckBox value=нет ##1## product_margin=нет ## activity=1 filter=1 description=]&Процессор[prop attr=телефон]=[type=assortmentCheckBox value=312 МГц ##1## product_margin=312 МГц ## activity=1 filter=1 description=]&Емкость аккумулятора[prop attr=телефон]=[type=assortmentCheckBox value=400 мА?ч ##1## product_margin=400 мА?ч ## activity=1 filter=1 description=]&Время работы в режиме разговора[prop attr=телефон]=[type=assortmentCheckBox value=3 ч ##1## product_margin=3 ч ## activity=1 filter=1 description=]&Время работы в режиме ожидания[prop attr=телефон]=[type=assortmentCheckBox value=160 ч ##1## product_margin=160 ч ## activity=1 filter=1 description=]&Тип разъема для зарядки[prop attr=телефон]=[type=assortmentCheckBox value=micro-USB ##1## product_margin=micro-USB ## activity=1 filter=1 description=]&Фонарик[prop attr=телефон]=[type=assortmentCheckBox value=есть ##1## product_margin=есть ## activity=1 filter=1 description=]&Органайзер[prop attr=телефон]=[type=assortmentCheckBox value=будильник ##1## product_margin=будильник ## activity=1 filter=1 description=]&Бренд[prop attr=телефон]=[type=assortmentCheckBox value=????????? ??????? Alcatel onetouch 1020d ????? ???????? 2sim 1.8"" 128x160 gsm900/ 1800 gsm1900 fm##1## product_margin=????????? ??????? Alcatel onetouch 1020d ????? ???????? 2sim 1.8"" 128x160 gsm900/ 1800 gsm1900 fm## activity=1 filter=1 description=]"
